Mostres_ESP32,Valor1_mV, Valor2_mV
1232,128, 530
1233,129, 529
1234,124, 526
1235,121, 499
1236,126, 525
1237,121, 523
1238,123, 518
1239,126, 519
1240,124, 517
1241,117, 506
1242,122, 517
1243,120, 517
1244,115, 516
1245,115, 517
1246,118, 513
1247,124, 513
1248,113, 517
1249,121, 522
1250,120, 521
1251,127, 515
1252,128, 518
1253,131, 524
1254,127, 522
1255,131, 519
1256,126, 519
1257,127, 524
1258,131, 526
1259,136, 518
1260,135, 525
1261,131, 529
1262,135, 537
1263,135, 533
1264,139, 533
1265,130, 535
1266,141, 533
1267,143, 540
1268,142, 535
1269,139, 542
1270,147, 540
1271,148, 553
1272,145, 553
1273,136, 551
1274,148, 545
1275,152, 542
1276,145, 547
1277,143, 548
1278,139, 548
1279,145, 547
1280,139, 547
1281,147, 542
1282,137, 545
1283,138, 543
1284,140, 542
1285,138, 539
1286,130, 539
1287,133, 535
1288,135, 533
1289,133, 539
1290,128, 533
1291,133, 535
1292,130, 529
1293,125, 525
1294,132, 529
1295,125, 527
1296,127, 509
1297,127, 524
1298,122, 523
1299,126, 519
1300,125, 519
1301,116, 523
1302,119, 519
1303,127, 517
1304,121, 514
1305,119, 517
1306,117, 518
1307,123, 518
1308,124, 518
1309,108, 515
1310,127, 518
1311,122, 538
1312,129, 513
1313,129, 522
1314,125, 521
1315,131, 523
1316,127, 518
1317,127, 519
1318,130, 529
1319,128, 523
1320,133, 522
1321,134, 526
1322,133, 529
1323,130, 529
1324,137, 532
1325,139, 530
1326,140, 536
1327,141, 535
1328,141, 536
1329,138, 539
1330,140, 539
1331,141, 542
1332,144, 540
1333,135, 541
1334,147, 540
1335,141, 543
1336,139, 538
1337,145, 543
1338,140, 548
1339,139, 542
1340,145, 547
1341,145, 547
1342,142, 547
1343,139, 546
1344,141, 552
1345,139, 552
1346,140, 540
1347,133, 537
1348,130, 538
1349,137, 533
1350,136, 535
1351,133, 536
1352,132, 533
1353,129, 533
1354,126, 529
1355,129, 527
1356,121, 524
1357,125, 508
1358,128, 519
1359,122, 524
1360,121, 519
1361,127, 516
1362,121, 515
1363,115, 517
1364,122, 514
1365,120, 513
1366,118, 519
1367,118, 518
1368,117, 517
1369,123, 515
1370,115, 517
1371,124, 519
1372,123, 507
1373,124, 516
1374,124, 517
1375,127, 519
1376,127, 515
1377,125, 522
1378,124, 524
1379,130, 524
1380,127, 527
1381,133, 525
1382,134, 526
